district,apartment_type,property_type,floor_area,price,price_m2,build_year,floor,elevator,condition,plot,energy_class,date_scrape,municipaliy
,,,,,,,,,,,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Länsimäki,"2h, k, kph, vaa...",kt,"59,50",136000,2286,1975,6/6,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Tammisto,"2h,kt,s,kph,las.p",kt,"49,00",210000,4286,2007,3/4,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Vantaanpuisto,"2h,k,kph,las.p",kt,"54,00",118000,2185,1970,6/8,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Vierumäki,"2h, k, kph, s, ...",rt,"65,00",222000,3415,1986,1/1,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Kaivoksela,"2h, kk",kt,"37,50",142000,3787,1964,1/3,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Tikkurila,2h+k+s,kt,"52,00",255000,4904,2002,10/12,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Rajatorppa,"2h,k,kph",kt,"59,00",140000,2373,1971,4/5,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Kivistö,2h+kt,kt,"35,00",160857,4596,2021,4/6,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Myyrmäki,"2h, k, kph, vh,...",kt,"60,50",114000,1884,1975,4/6,on,tyyd.,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Asola,"2h, kt, kh, las...",kt,"37,50",172483,4600,2021,2/4,on,hyvä,vuokra							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Myyrmäki,"2 h, kt, kph, l...",kt,"46,00",218000,4739,2008,3/5,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Havukoski,2h+k+kph+terassi,kt,"57,50",148500,2583,1979,1/2,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Viertola,2h+k+kph+s+piha...,rt,"58,50",205000,3504,1985,1/1,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Päiväkumpu,2h+k+s,kt,"65,00",155000,2385,1994,2/2,ei,hyvä,vuokra							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Hämeenkylä,2h+kt,kt,"44,50",195000,4382,2019,2/2,ei,hyvä,oma							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Tikkurila,"2h, avokeitti...",kt,"53,00",288500,5443,2015,3/4,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Koivukylä,"2h, kk",kt,"45,00",78000,1733,1974,1/3,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Koivukylä,2h+k+kph+lasite...,kt,"58,50",150000,2564,1988,1/5,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Simonmetsä,2h+k,kt,"59,50",167000,2807,1967,3/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Havukoski,2h+k+kph+parv.,kt,"60,00",81000,1350,1977,3/3,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Viertola,"2h, k, wc, kph,...",rt,"60,00",182000,3033,1986,1/1,ei,hyvä,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Martinlaakso,2h+k,kt,"56,00",151000,2696,1975,7/7,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Simonkylä,2h+k+las.parv,kt,"58,00",120000,2069,1969,3/6,on,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Kivistö,"2h, avokeitti...",kt,"33,50",180000,5373,2017,4/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Kaivoksela,2h+k+p,kt,"54,00",148500,2750,1963,4/6,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Tikkurila,2h+kt,kt,"41,00",223900,5461,2021,2/7,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Myyrmäki,"2h, kk, kph, vh...",kt,"47,00",116000,2468,1970,1/6,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Kaivoksela,2h+kt+s+lasitet...,kt,"48,00",228000,4750,2017,3/5,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Louhela,"2h, k, kph ja l...",kt,"55,50",151000,2721,1966,1/3,ei,hyvä,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Korso,2 h+k,kt,"58,00",135000,2328,1984,1/2,ei,tyyd.,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Kivistö,"2h, kt",kt,"31,50",154937,4919,2020,4/6,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
Kivistö,2h+kt,kt,"35,00",156344,4467,2021,3/6,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a
"
								",,,,,,,,,,,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Leppäkorpi,"2h,k, s, kph, t...",rt,"44,50",153000,3438,1992,1/1,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
"Myyrmäki, kilterinmäki",2h+k+kph+s+vh+p,kt,"53,50",226500,4234,2008,4/5,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Myyrmäki,"2h, kk",kt,"55,50",139000,2505,1976,4/5,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Havukoski,"2h,k,kph,las.p",kt,"61,00",95000,1557,1974,1/7,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Myyrmäki,2h+k+kph,kt,"54,00",118173,2188,1972,1/8,ei,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Hakunila,2h+kk,kt,"48,50",118000,2433,1991,3/6,on,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Myyrmäki,"2h,k,kph,vh,parv.",kt,"60,50",106677,1763,1975,1/6,on,tyyd.,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Pakkala,"2h,kt,kph,las.p...",kt,"54,50",208500,3826,2009,3/4,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Leppäkorpi,2h+k+s,rt,"55,00",160000,2909,1986,1/1,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Pähkinärinne,"2h, k, erill.wc...",kt,"53,50",161000,3009,1988,-1/4,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Simonkallio,"2h,k,kph,parveke",kt,"55,00",126417,2298,1970,2/5,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Martinlaakso,"2h, kt",kt,"52,00",253060,4867,2020,5/7,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Koivukylä,2h+kk+ wc/kph+vh,kt,"47,00",80000,1702,1974,6/6,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,2h+kt,kt,"41,00",245900,5998,2021,7/7,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Martinlaakso,"2h, kk",kt,"46,50",151000,3247,1999,3/4,on,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Havukoski,"2h,kk,kph,vh",kt,"49,50",112000,2263,1976,1/3,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Pakkala,"2h, kk, s, parv.",kt,"53,50",175000,3271,1994,4/4,on,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Leinelä,2h+k+s,kt,"59,00",249000,4220,2016,5/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Hiekkaharju,2h+k+kph+parveke,kt,"57,00",200000,3509,1967,1/3,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Kaivoksela,"2h, kk, kph, la...",kt,"45,50",175000,3846,2008,3/6,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Kaivoksela,2h + k + vh + s...,kt,"48,00",207000,4313,2016,2/4,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,2h+kt,kt,"41,00",228000,5561,2021,3/7,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Kaivoksela,"2k,kt,s",kt,"43,00",221500,5151,2017,1/2,ei,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Vantaanpuisto,2h+k,kt,"54,00",122000,2259,1965,7/8,on,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Myyrmäki,2H+KT+ lasitett...,kt,"32,50",188199,5791,2020,2/8,on,hyvä,oma							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Hämeenkylä,2h+kk,kt,"46,00",119000,2587,1975,3/5,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,2h+kt,kt,"47,50",264900,5577,2021,6/7,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,"2h, k, s, parveke",kt,"55,50",189000,3405,1984,2/2,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tammisto,"2h, k, kph, s, p",kt,"54,00",225000,4167,2006,3/4,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Myyrmäki,"2h, k, kp, vh, ...",kt,"55,00",167000,3036,1971,1/3,ei,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Pähkinärinne,"2h, k, s, vh, l...",kt,"51,50",165000,3204,1987,4/4,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Viertola,"2h, kk, kph, s,...",kt,"47,00",145000,3085,1991,2/3,ei,huono,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Asola,2h+k+s,kt,"59,50",151000,2538,1988,5/6,ei,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,"2h, k",kt,"45,00",164000,3644,1966,2/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Martinlaakso,"2h, k, kph, las...",kt,"55,00",107000,1945,1972,5/7,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Maarukka,"2h, k, s, piha",kt,"57,50",150000,2609,2008,1/5,on,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,2h+kt,kt,"41,00",235900,5754,2021,5/7,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Leinelä,2h+kt+vaatehuone,kt,"42,00",181000,4310,2018,2/8,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Pähkinärinne ,2 H+K,kt,"51,00",133000,2608,1973,3/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Rajatorppa,2h+kk+kph,kt,"50,00",100000,2000,1972,2/5,on, ,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Kivistö,2h+kt,kt,"31,50",151566,4812,2021,2/6,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,"2h, k, s",kt,"53,50",189000,3533,1991,3/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Tikkurila,2h+kt+s+parveke,kt,"48,50",269000,5546,2014,4/8,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Rajakylä,"2h, avokeitti...",rt,"66,00",176000,2667,1981,1/1,ei,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Myyrmäki,2H+KK,kt,"47,00",100000,2128,1972,1/8,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Länsimäki,2h+k+las.parv,kt,"58,50",120000,2051,1977,1/3,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Martinlaakso,"2h, k",kt,"50,50",118000,2337,1973,1/3,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Jokiniemi,"1h, tupakeitti&...",rt,"49,50",220000,4444,2010,1/1,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Kannisto/kivistö,2h+k+kph+s,rt,"50,00",229030,4581,2014,1/1,ei,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Martinlaakso,2 h+k,kt,"55,50",129000,2324,1971,5/5,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Havukoski,2H+K,kt,"59,00",99000,1678,1978,3/4,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
Havukoski,2h+kk+kph,kt,"47,50",75000,1579,1975,6/6,on,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a
"
								",,,,,,,,,,,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Kaivoksela,2h+avok+kph+s+l...,kt,"56,50",270000,4779,2016,5/5,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Myyrmäki,2h+k,kt,"59,00",156000,2644,1976,5/10,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Havukoski,2h+k+kh+lasitet...,kt,"59,50",103000,1731,1977,6/6,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Myyrmäki,"2h, k, s",kt,"59,50",173000,2908,1983,3/4,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Koivukylä,"2h, k, kh, vh, ...",kt,"65,50",130000,1985,1984,1/3,ei,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Hiekkaharju,2h+kt+lasitettu...,kt,"34,00",179000,5265,2019,2/7,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Havukoski,"2h, k, par",kt,"58,50",79000,1350,1973,2/5,on,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Havukoski/koivukylä,"2h,avok,kph,s,l...",kt,"51,50",119000,2311,1977,4/7,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Simonkylä,"2h, eteinen, ke...",kt,"48,00",155000,3229,1961,1/2,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Nissas,2h+k,kt,"56,00",115000,2054,1991,2/3,ei,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Vaarala,"2h, avokeitti...",kt,"40,50",105819,2613,1972,1/6,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Jokiniemi,"2h, kk",kt,"43,50",143000,3287,1960,2/6,on,hyvä,vuokra							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Pähkinärinne,"2h, k, kph, las...",kt,"44,00",133000,3023,1973,3/5,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Rekola,"2h, k, vh, wc, ...",rt,"59,50",179000,3008,1993,1/1,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Länsimäki,2 H+KK,kt,"49,50",111322,2249,1976,1/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Koivuhaka,"2h, k, kph, s, ...",kt,"44,00",208000,4727,2014,1/2,ei,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Pähkinärinne,"2h, avok, kph, ...",kt,"48,50",142447,2937,1986,2/5,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Vaarala,2h+k+sauna+khh+ph,rt,"80,00",255000,3188,2005,1/2,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
"Havukoski, koivukylä",2h+k+las.parv,kt,"49,50",95000,1919,1976,1/3,ei,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Rajakylä,"2h,k,s",rt,"50,00",172000,3440,1990,1/1,ei,tyyd.,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Länsimäki,"2h, k, s, lasit...",kt,"59,00",165000,2797,1998,5/7,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Kivistö,2h+kt,kt,"35,00",172000,4914,2016,2/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Korso,2h+kk+s,kt,"47,00",134000,2851,1989,2/3,ei,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Korso,"2h,kk,s",kt,"50,00",137250,2745,1994,2/5,on, ,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Korso,"2h, k, s, lasit...",kt,"52,50",130000,2476,1982,2/3,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Asola,"2h, kk, parvi, ...",kt,"37,50",179594,4789,2021,1/4,on,hyvä,vuokra							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Jokiniemi,"2h,kt,kph,vh,las.p",kt,"51,00",226000,4431,2016,2/4,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Hakunila,"2h, k, kph, las...",kt,"55,00",110000,2000,1982,1/3,ei,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Rajatorppa,"2h, k, lasitett...",kt,"59,00",105000,1780,1974,1/5,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
Myyrmäki,"2h,k,kph,par",kt,"60,00",128000,2133,1975,4/5,on,hyvä,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Vantaa&cr=1&t=3&l=0&z=8&search=1&sf=0&so=a
