balcony,build_year,building_material,condition,floor_area,floor_info,floors,heating_type,house_info,lift,location,lot_owned,lot_size,maintenance,price,property_type,sauna,municipality,kitchen_type,balcony_type,floors_info,floor_num,park_space_type,address,postcode,Unit maintenance cost
Asunnossa on parveke,1963.0,concrete,good,71.5,1/4,4,Maalämpö,3h + k + kph + lasitettu parveke,True,"niittykummuntie 6,, ,02200 espoo",True,7958.0,"479,05 € / kk",314000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,1,,niittykummuntie 6,02200,479.0
Asunnossa on parveke,1971.0,concrete,good,73.5,3/4,4,Kaukolämpö,oh + k + 2mh + kph + p,False,"kuusikallionkuja 4,, ,02210 espoo",True,34515.0,"370,50 € / kk",210000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,3,,kuusikallionkuja 4,02210,370.0
Asunnossa on parveke,1985.0,concrete,good,66.0,3/3,3,Kaukolämpö,3h + k + s,False,"ruutikellarintie 1,, ,02650 espoo",True,3314.0,"372,90 € / kk",269000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,3,,ruutikellarintie 1,02650,372.0
Asunnossa on parveke,2019.0,concrete,mediocre,59.0,7/8,8,,3h + kt,True,"suurpellon puistokatu 9 a 43,, ,02250",False,,"377,78 € / kk",270200.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,7,,suurpellon puistokatu 9 a 43,02250,377.0
Asunnossa on parveke,2019.0,concrete,mediocre,101.0,2/5,5,,3-4h + k,True,"suvikummuntie 1 a 08,, ,02120",True,,"599,65 € / kk",659100.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,2,,suvikummuntie 1 a 08,02120,599.0
Asunnossa on parveke,2020.0,concrete,mediocre,63.5,1/7,7,,2h + kt,True,"suvikummuntie 1 c 40,, ,02120",True,,"383,00 € / kk",419900.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,1,,suvikummuntie 1 c 40,02120,383.0
Asunnossa on parveke,2021.0,concrete,good,114.0,2/5,5,,3-4h + kt + s,True,"tuuliniitty 5 b 24*,, ,02100",True,,"698,55 € / kk",875600.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,2,,tuuliniitty 5 b 24*,02100,698.0
Asunnossa on parveke,2020.0,concrete,good,149.0,1/1,1,,5 h + k + khh + s + ph + 2 wc + vh + parv + terassi + ulkovar.,False,"rauduskoivunkuja 4 b,, ,02130",True,,,895000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,2.0,1,,rauduskoivunkuja 4 b,02130,
,2000.0,concrete,good,221.0,1/2,2,"Maalämpö,Koneellinen ilmavaihtojärjestelmä (LTO)",5h + rt + k + khh + s + at + varasto,False,"lyökkikuja 1 a,, ,02160 espoo",True,1200.0,,1450000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Garage,lyökkikuja 1 a,02160,
Asunnossa on parveke,2021.0,concrete,good,52.0,2/8,8,Kaukolämpö,"2h + k + var - 52,0 m²",True,"piispanportti 9 a8,, ,02240",True,2878.0,"551,20 € / kk",305760.0,apartment,,ESPOO,kitchen,glassed-in balcony,,2,,piispanportti 9 a8,02240,551.0
,,concrete,good,34.0,1/1,1,Kaukolämpö,1h + kt,True,"piispanportti 9 c75,, ,02240",True,,"255,00 € / kk",234600.0,apartment,,ESPOO,kitchenette,,,1,,piispanportti 9 c75,02240,255.0
Asunnossa on parveke,,concrete,good,69.5,6/7,7,Kaukolämpö,"3h + kt + vh - 69,5 m2",True,"magneettikatu 5 a22,, ,02330",True,1497.0,"472,60 € / kk",373000.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,6,,magneettikatu 5 a22,02330,472.0
Asunnossa on parveke,1971.0,concrete,mediocre,100.0,1/4,4,Kaukolämpö,4h + k + kph + wc + parveke + piha,False,"soukankuja 2,, ,02360",True,2415.0,"657,00 € / kk",258000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,2.0,1,,soukankuja 2,02360,657.0
Asunnossa on parveke,2010.0,concrete,good,67.5,2/20,20,"Kaukolämpö, ilmanvaihto koneellinen tulo + poisto",3h + k + s + lasitettu parveke,True,"valurinkuja 2,, ,02650",False,2036.0,"297,00 € / kk",370000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,2,,valurinkuja 2,02650,297.0
Asunnossa on parveke,1970.0,concrete,mediocre,57.0,1/5,5,"Kaukolämpö,Koneellinen ilmanvaihto",2h + k,True,"ylistörmä 5,, ,02210 espoo",True,5856.0,"393,30 € / kk",170000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,,1,,ylistörmä 5,02210,393.0
Asunnossa on parveke,2001.0,concrete,mediocre,58.0,3/8,8,Kaukolämpö.,2h + k + vh + lasitettu parveke,True,"piispansilta 15,, ,02230",True,3184.0,"286,69 € / kk",298000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,3,,piispansilta 15,02230,286.0
,1985.0,concrete,mediocre,79.5,1/2,2,Kaukolämpö,3h + k + kph + s + erill.wc + ter,False,"nöykkiönniitty 3,, ,02330",True,,"392,78 € / kk",285000.0,row house,Asunnossa on sauna,ESPOO,kitchen,,,1,,nöykkiönniitty 3,02330,392.0
