balcony,build_year,building_material,condition,floor_area,floor_info,floors,heating_type,house_info,lift,location,lot_owned,lot_size,maintenance,price,property_type,sauna,municipality,kitchen_type,balcony_type,floors_info,floor_num,park_space_type,address,postcode,Unit maintenance cost
,2021.0,concrete,good,81.5,1/2,2,"Kaukolämpö, vesikiertoinen lattialämmitys",3h + kt + s,False,"etuniemenkuja 6 d14,, ,02230",True,3877.0,"687,63 € / kk",487370.0,row house,Asunnossa on sauna,ESPOO,kitchenette,,2.0,1,,etuniemenkuja 6 d14,02230,687.0
Asunnossa on parveke,2021.0,concrete,good,88.0,3/6,6,Kaukolämpö,4h + kt + s,True,"armas launiksen katu 14 a9,, ,02650",True,2352.0,"643,59 € / kk",457600.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,armas launiksen katu 14 a9,02650,643.0
Asunnossa on parveke,2020.0,concrete,good,43.5,5/5,5,Kaukolämpö,2h + kt + lasitettu parveke,True,"kirkkojärventie 10 a30,, ,02770",,,"267,96 € / kk",222509.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,5,,kirkkojärventie 10 a30,02770,267.0
Asunnossa on parveke,2021.0,concrete,good,68.5,2/8,8,,3h + kt + s,True,"koronakatu 1 a1,, ,02210",,,"440,46 € / kk",359627.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,koronakatu 1 a1,02210,440.0
Asunnossa on parveke,2019.0,concrete,good,28.0,6/6,6,Kaukolämpö,1h + kt + lasitettu parveke,True,"linjaloistonkatu 3 b 58,, ,02330",True,2411.0,"207,12 € / kk",186900.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,6,,linjaloistonkatu 3 b 58,02330,207.0
Asunnossa on parveke,2021.0,concrete,good,52.0,9/9,9,"Kaukolämpö, jakelutapa huoneistoissa vesikiertoinen lattialämmitys, yleisissä tiloissa vesikiertoiset patterit",2h + kt + alk,True,"niittykummuntie 4 a 77,, ,02220",False,1920.0,"425,00 € / kk",332800.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,9,,niittykummuntie 4 a 77,02220,425.0
Asunnossa on parveke,2021.0,concrete,good,33.5,7/9,9,"Kaukolämpö, jakelutapa huoneistoissa vesikiertoinen lattialämmitys, yleisissä tiloissa vesikiertoiset patterit",1h + kt,True,"niittykummuntie 4 a 57,, ,02220",False,1920.0,"269,71 € / kk",221100.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,7,,niittykummuntie 4 a 57,02220,269.0
Asunnossa on parveke,2007.0,concrete,good,246.0,1/3,3,Kaukolämpö,6h + k + ruokailutila + työtila + 2 kph + 2 wc + ph / s + k,False,"westendin puistotie 11 a,, ,02160",True,1506.0,"290,00 € / kk",1290000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,3.0,1,,westendin puistotie 11 a,02160,290.0
Asunnossa on parveke,1979.0,concrete,mediocre,94.5,1/3,3,Kaukolämpö,4 h + k + erillinen wc + parveke,False,"tiistilänkuja 5,, ,02230 espoo",True,71185.0,"485,25 € / kk",266000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,1,,tiistilänkuja 5,02230,485.0
,2017.0,concrete,good,87.0,1/5,5,Kaukolämpö,4h + k + s,False,"suurpellon puistokatu 8,, ,02250 espoo",True,,"339,30 € / kk",389000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,,,1,,suurpellon puistokatu 8,02250,339.0
,1984.0,concrete,good,83.0,1/1,1,Sähkölämmitys,3h + k + s + kph + wc,False,"siestankuja 24,, ,02710 espoo",True,2756.0,"370,00 € / kk",288000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,1.0,1,,siestankuja 24,02710,370.0
Asunnossa on parveke,2021.0,concrete,good,46.5,2/16,16,Kaukolämpö,2h + kt,True,"matinkatu 22 a 85,, ,02230",False,2552.0,"305,29 € / kk",261700.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,2,,matinkatu 22 a 85,02230,305.0
Asunnossa on parveke,2021.0,concrete,good,64.5,4/16,16,Kaukolämpö,3h + kt + s,True,"matinkatu 22 a 34,, ,02230",False,2552.0,"238,65 € / kk",323209.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,4,,matinkatu 22 a 34,02230,238.0
Asunnossa on parveke,2021.0,concrete,good,66.0,12/16,16,Kaukolämpö,4h + kt,True,"matinkatu 22 a 91,, ,02230",False,2552.0,"449,51 € / kk",397800.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,12,,matinkatu 22 a 91,02230,449.0
Asunnossa on parveke,2021.0,concrete,good,47.5,13/16,16,Kaukolämpö,2h + kt,True,"matinkatu 22 a 100,, ,02230",False,2552.0,"327,95 € / kk",280600.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,13,,matinkatu 22 a 100,02230,327.0
Asunnossa on parveke,2021.0,concrete,good,49.0,13/16,16,Kaukolämpö,2h + kt,True,"matinkatu 22 a 104,, ,02230",False,2552.0,"327,95 € / kk",298800.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,13,,matinkatu 22 a 104,02230,327.0
Asunnossa on parveke,2021.0,concrete,good,66.0,14/16,16,Kaukolämpö,4h + kt,True,"matinkatu 22 a 107,, ,02230",False,2552.0,"427,72 € / kk",422800.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,14,,matinkatu 22 a 107,02230,427.0
,1970.0,concrete,good,113.0,1/1,1,Kaukolämpö,4-5h + k + kph + wc + ulkovarasto,False,"linnustajantie 9,, ,02940 espoo",True,2816.0,"418,10 € / kk",299000.0,row house,Taloyhtiössä on sauna,ESPOO,kitchen,,1.0,1,,linnustajantie 9,02940,418.0
Asunnossa on parveke,2018.0,wood,,115.0,1/1,1,,5h + k + khh + s ( + 5 m2 var),False,"hiidenportti 8 c 5,, ,02750",True,,"671,60 € / kk",592000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,1,,hiidenportti 8 c 5,02750,671.0
Asunnossa on parveke,2021.0,concrete,good,80.5,2/8,8,Kaukolämpö,"3h + k + s - 80,5 m²",True,"piispanportti 9 a9,, ,02240",True,2878.0,"853,30 € / kk",474145.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,2,,piispanportti 9 a9,02240,853.0
,1984.0,concrete,mediocre,84.5,1/1,1,Kaukolämpö,3 h + k + s + erill. wc + vh + lämmin varasto + piha,False,"puutarhatie 11,, ,02710",True,2848.0,"481,65 € / kk",258000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,1.0,1,,puutarhatie 11,02710,481.0
,2015.0,concrete,good,105.0,1/2,2,Kaukolämpö,4h + k + 2xkph + s + parveke + terassi.,False,"vuoripirtintie 6,, ,02330 espoo",False,10244.0,"677,25 € / kk",399000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,,1,,vuoripirtintie 6,02330,677.0
Asunnossa on parveke,1994.0,concrete,good,283.0,1/1,1,,5-7h + k + s + at,False,"kuninkaanlahdentie 6,, ,02160",True,,,800000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,1,Garage,kuninkaanlahdentie 6,02160,
,1988.0,concrete,mediocre,111.0,1/1,1,Sähkölämmitys,4-5h + k + 2xkph + s + varasto + at,False,"pitkäjärvenranta 4,, ,02730 espoo",True,,,725000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Garage,pitkäjärvenranta 4,02730,
Asunnossa on parveke,2019.0,concrete,good,188.0,5/5,5,"Kaukolämpö,vesikiertoinen lattialämmitys/-viilennys",5-6h + k + s,True,"rantaharju 8,, ,02230 espoo",True,17585.0,"1 462,64 € / kk",1420000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,5,,rantaharju 8,02230,1462.0
Asunnossa on parveke,1981.0,concrete,mediocre,76.5,3/3,3,Kaukolämpö,3h + k + kph + vh + p,False,"vilniementie 12,, ,02940",True,64411.0,"388,20 € / kk",169000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,3,,vilniementie 12,02940,388.0
Asunnossa on parveke,2014.0,concrete,good,38.5,3/5,5,Kaukolämpö,2h + avok. + kph / sauna + iso parveke lasituksilla (yh,True,"vallikatu 15,, ,02650 espoo",True,4911.0,"660,88 € / kk",238000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,3,,vallikatu 15,02650,660.0
Asunnossa on parveke,1990.0,concrete,mediocre,37.5,5/17,17,kaukolämpö,1h + ak + kph + s + parveke ( yht. jär. muk. 1h + k + ,True,"meriusva 5,, ,02320 espoo",True,1591.0,"198,00 € / kk",149000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,5,Carport,meriusva 5,02320,198.0
Asunnossa on parveke,1997.0,concrete,good,105.0,1/2,2,Kaukolämpö,5h + k + kph + saunaos + varasto + parveke,False,"ristiniementie 26,, ,02320 espoo",True,6200.0,"525,00 € / kk",398000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,2.0,1,,ristiniementie 26,02320,525.0
,2004.0,wood,good,166.0,1/1,1,"Suora sähkölämmitys, laatoitetuissa betonilattioissa sähkövastuksilla toteutettu lattialämmitys mukavuuslämpönä.",5h + k + 2xkph + s + lasitettu terassi,False,"holmanpää 5,, ,02240 espoo",False,,,649000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,,holmanpää 5,02240,
Asunnossa on parveke,2012.0,concrete,good,86.0,3/4,4,Maalämpö,4h + k,True,"maakirjantie 2,, ,02250",True,6233.0,,50117.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,,3,,maakirjantie 2,02250,
,1977.0,concrete,mediocre,230.0,1/1,1,Maalämpö,5-6 h + k + 2 x kh + 2 x wc + s + uima-allasos + pukuh + ,False,"ankeriaankuja 4,, ,02260 espoo",True,2275.0,"257,49 € / kk",590000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,,ankeriaankuja 4,02260,257.0
Asunnossa on parveke,2021.0,concrete,good,88.0,4/6,6,Kaukolämpö,4h + kt + s,True,"armas launiksen katu 14 a14,, ,02650",True,2352.0,"651,92 € / kk",469920.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,4,,armas launiksen katu 14 a14,02650,651.0
Asunnossa on parveke,2021.0,concrete,good,88.5,1/6,6,Kaukolämpö,4h + kt + s,True,"armas launiksen katu 14 b28,, ,02650",True,2352.0,"635,20 € / kk",442058.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,armas launiksen katu 14 b28,02650,635.0
,,concrete,good,113.0,1/1,1,"Maalämpö, vesikiertoinen lattialämmitys",5h + k + 2kh + s + khh + wc + 2vh + uvv,False,"pitkäjärvenranta 39 as.1,, ,02730 espoo",True,,,879000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,3.0,1,,pitkäjärvenranta 39 as.1,02730,
Asunnossa on parveke,2020.0,concrete,good,35.5,4/5,5,Kaukolämpö,2h + k + vh + parveke,True,"kalliolähteentie 5 c 45,, ,02210 espoo",True,5703.0,"191,70 € / kk",198500.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,4,,kalliolähteentie 5 c 45,02210,191.0
Asunnossa on parveke,2020.0,concrete,good,62.0,1/4,4,Kaukolämpö,3h + kt + s,True,"kuvastimentie 1 b 1,, ,02210",True,,"428,96 € / kk",280000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,kuvastimentie 1 b 1,02210,428.0
Asunnossa on parveke,2019.0,concrete,mediocre,100.0,3/5,5,,3-4h + k + s,True,"suvikummuntie 1 b 29,, ,02120",True,,"609,30 € / kk",725000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,3,,suvikummuntie 1 b 29,02120,609.0
Asunnossa on parveke,2021.0,concrete,good,49.5,2/5,5,,2h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a5,, ,02330",,,"323,24 € / kk",249301.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,korkoontie 4 a5,02330,323.0
Asunnossa on parveke,2021.0,concrete,good,62.0,1/5,5,,3h + kt + s + huoneiston mittainen lasitettu parveke ja,True,"korkoontie 4 a1,, ,02330",,,"404,86 € / kk",280685.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,korkoontie 4 a1,02330,404.0
Asunnossa on parveke,2021.0,concrete,good,62.0,2/5,5,,3h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a4,, ,02330",,,"404,86 € / kk",295013.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,korkoontie 4 a4,02330,404.0
Asunnossa on parveke,2021.0,concrete,good,68.5,2/5,5,,3h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a6,, ,02330",,,"447,31 € / kk",323483.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,korkoontie 4 a6,02330,447.0
Asunnossa on parveke,2021.0,concrete,good,55.0,2/5,5,,2-3h + kt + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a3,, ,02330",,,"359,15 € / kk",263523.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,korkoontie 4 a3,02330,359.0
Asunnossa on parveke,2021.0,concrete,good,62.0,3/5,5,,3h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a8,, ,02330",,,"404,86 € / kk",297955.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,korkoontie 4 a8,02330,404.0
Asunnossa on parveke,2021.0,concrete,good,49.5,3/5,5,,2h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a9,, ,02330",,,"323,24 € / kk",251791.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,korkoontie 4 a9,02330,323.0
Asunnossa on parveke,2021.0,concrete,good,32.5,3/5,5,,1h + kt + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a11,, ,02330",,,"212,23 € / kk",197846.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,korkoontie 4 a11,02330,212.0
Asunnossa on parveke,2021.0,concrete,good,68.5,3/5,5,,3h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a10,, ,02330",,,"447,31 € / kk",329482.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,korkoontie 4 a10,02330,447.0
Asunnossa on parveke,2021.0,concrete,good,55.5,4/5,5,,2-3h + kt + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a12,, ,02330",,,"362,42 € / kk",269000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,4,,korkoontie 4 a12,02330,362.0
Asunnossa on parveke,2021.0,concrete,good,49.5,4/5,5,,2h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a14,, ,02330",,,"323,24 € / kk",254280.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,4,,korkoontie 4 a14,02330,323.0
Asunnossa on parveke,2021.0,concrete,good,32.5,4/5,5,,1h + kt + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 a16,, ,02330",,,"212,23 € / kk",199758.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,4,,korkoontie 4 a16,02330,212.0
Asunnossa on parveke,2021.0,concrete,good,62.0,1/5,5,,3h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 b21,, ,02330",,,"404,86 € / kk",280685.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,korkoontie 4 b21,02330,404.0
Asunnossa on parveke,2021.0,concrete,good,49.5,2/5,5,,2h + kt + s + huoneiston mittainen lasitettu parveke,True,"korkoontie 4 b25,, ,02330",,,"323,24 € / kk",249301.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,korkoontie 4 b25,02330,323.0
Asunnossa on parveke,2020.0,concrete,mediocre,113.0,2/7,7,,5h + k,True,"suvikummuntie 1 c 45,, ,02120",True,,"680,00 € / kk",739800.0,apartment,,ESPOO,kitchen,glassed-in balcony,,2,,suvikummuntie 1 c 45,02120,680.0
Asunnossa on parveke,2020.0,concrete,good,38.5,3/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 c 9,, ,02210 espoo",True,11692.0,"790,80 € / kk",193000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,kuvastimentie 1 c 9,02210,790.0
Asunnossa on parveke,2020.0,concrete,good,45.5,3/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 13,, ,02210 espoo",True,11692.0,"918,06 € / kk",222500.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,kuvastimentie 1 b 13,02210,918.0
Asunnossa on parveke,2020.0,concrete,good,48.5,2/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 8,, ,02210 espoo",True,11692.0,"949,30 € / kk",228500.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,kuvastimentie 1 b 8,02210,949.0
Asunnossa on parveke,1974.0,concrete,mediocre,60.5,5/8,8,"Kaukolämpö,Kaukolämpö, Vesikiertoinen keskuslämmitys",2h + k + kph + las. parveke,True,"täysikuu 10,, ,02210",True,42661.0,"235,95 € / kk",169000.0,apartment,,ESPOO,kitchen,glassed-in balcony,,5,,täysikuu 10,02210,235.0
,2018.0,concrete,good,120.0,1/1,1,PILP poistoilmalämpöpumppu/ vesikiertoinen lattialämmitys,5h + k + khh + kph + s + 2wc + terassi + ak,False,"kirjomäki 8,, ,02750 espoo",False,,,475000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Carport,kirjomäki 8,02750,
Asunnossa on parveke,2019.0,concrete,good,66.5,1/2,2,Sähkölämmitys,2h + kt + s + erill.wc + kph + piha-alue (yht.järj.2h + k,False,"isäntärengintie 4,, ,02940 espoo",True,5036.0,"251,75 € / kk",286000.0,row house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,1,,isäntärengintie 4,02940,251.0
Asunnossa on parveke,1972.0,concrete,mediocre,57.0,1/2,2,Kaukolämpö,2h + k + kph + parv.,False,"viherkallionkuja 5,, ,02710 espoo",True,5313.0,"362,41 € / kk",129000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,1,,viherkallionkuja 5,02710,362.0
Asunnossa on parveke,1962.0,concrete,good,45.0,2/2,2,Kaukolämpö,2h + kk + kph + lasitettu parveke,False,"vallikatu 8 a,, ,02650 espoo",True,2588.0,"594,00 € / kk",174900.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,vallikatu 8 a,02650,594.0
,1969.0,concrete,mediocre,115.0,1/2,2,Kaukolämpö,5h + k + 2x kph + s + erill. wc + khh,False,"tornihaukantie 4,, ,02620",True,16500.0,"672,19 € / kk",238000.0,row house,Asunnossa on sauna,ESPOO,kitchen,,,1,,tornihaukantie 4,02620,672.0
Asunnossa on parveke,2013.0,concrete,good,61.5,2/5,5,Kaukolämpö,oh + avok + mh + vh + kph + s + laistettu p (yj. 2h + k + ,True,"kaupinkalliontie 1,, ,02100 espoo",True,2621.0,"246,00 € / kk",475000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,2,,kaupinkalliontie 1,02100,246.0
,2015.0,concrete,good,67.0,2/2,2,Kaukolämpö,3h + avok + kph + s + erillis wc + parveke.,False,"pikkulotankuja 4,, ,02680 espoo",True,6537.0,"1 011,70 € / kk",299000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,,1.0,2,,pikkulotankuja 4,02680,1011.0
,1980.0,concrete,good,60.0,1/1,1,Sähkölämmitys,2h + k + kph + s,False,"oksatie 3,, ,02720 espoo",True,,"78,00 € / kk",245000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,1.0,1,,oksatie 3,02720,78.0
Asunnossa on parveke,2020.0,concrete,good,63.0,2/4,4,Kaukolämpö,3h + kt + s,True,"kuvastimentie 1 b 5,, ,02210",True,,"437,89 € / kk",288000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,kuvastimentie 1 b 5,02210,437.0
Asunnossa on parveke,2020.0,concrete,good,63.0,1/4,4,Kaukolämpö,3h + kt + s,True,"kuvastimentie 1 b 2,, ,02210",True,,"434,45 € / kk",282000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,kuvastimentie 1 b 2,02210,434.0
Asunnossa on parveke,2020.0,concrete,good,48.5,2/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 8,, ,02210",True,,"341,30 € / kk",228500.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,2,,kuvastimentie 1 b 8,02210,341.0
Asunnossa on parveke,2020.0,concrete,good,62.0,2/4,4,Kaukolämpö,3h + kt + s,True,"kuvastimentie 1 b 4,, ,02210",True,,"432,40 € / kk",286000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,kuvastimentie 1 b 4,02210,432.0
,2020.0,concrete,good,38.5,3/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 9,, ,02210",True,,"277,80 € / kk",193000.0,apartment,,ESPOO,kitchenette,,,3,,kuvastimentie 1 b 9,02210,277.0
Asunnossa on parveke,2020.0,concrete,good,62.0,3/4,4,Kaukolämpö,3h + kt + s,True,"kuvastimentie 1 b 10,, ,02210",True,,"436,27 € / kk",292000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,kuvastimentie 1 b 10,02210,436.0
Asunnossa on parveke,2020.0,concrete,good,63.0,3/4,4,Kaukolämpö,3h + kt + s,True,"kuvastimentie 1 b 11,, ,02210",True,,"441,76 € / kk",294000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,kuvastimentie 1 b 11,02210,441.0
Asunnossa on parveke,2020.0,concrete,good,45.5,3/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 13,, ,02210",True,,"325,26 € / kk",222500.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,3,,kuvastimentie 1 b 13,02210,325.0
,2020.0,concrete,good,39.0,4/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 18,, ,02210",True,,"284,20 € / kk",200000.0,apartment,,ESPOO,kitchenette,,,4,,kuvastimentie 1 b 18,02210,284.0
,2020.0,concrete,good,38.5,4/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 15,, ,02210",True,,"281,67 € / kk",199000.0,apartment,,ESPOO,kitchenette,,,4,,kuvastimentie 1 b 15,02210,281.0
Asunnossa on parveke,2020.0,concrete,good,48.5,4/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 b 20,, ,02210",True,,"349,04 € / kk",241500.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,4,,kuvastimentie 1 b 20,02210,349.0
,2020.0,concrete,good,63.0,2/4,4,Kaukolämpö,3h + kt + s,True,"kuvastimentie 1 c 5,, ,02210",True,,"437,89 € / kk",288000.0,apartment,,ESPOO,kitchenette,,,2,,kuvastimentie 1 c 5,02210,437.0
,2020.0,concrete,good,45.5,2/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 c 7,, ,02210",True,,"320,53 € / kk",215000.0,apartment,,ESPOO,kitchenette,,,2,,kuvastimentie 1 c 7,02210,320.0
,2020.0,concrete,good,48.5,2/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 c 8,, ,02210",True,,"341,30 € / kk",228500.0,apartment,,ESPOO,kitchenette,,,2,,kuvastimentie 1 c 8,02210,341.0
,2020.0,concrete,good,45.5,3/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 c 13,, ,02210",True,,"323,97 € / kk",220500.0,apartment,,ESPOO,kitchenette,,,3,,kuvastimentie 1 c 13,02210,323.0
,2020.0,concrete,good,38.5,4/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 c 15,, ,02210",True,,"281,67 € / kk",199000.0,apartment,,ESPOO,kitchenette,,,4,,kuvastimentie 1 c 15,02210,281.0
,2020.0,concrete,good,39.0,4/4,4,Kaukolämpö,2h + kt,True,"kuvastimentie 1 c 18,, ,02210",True,,"284,20 € / kk",200000.0,apartment,,ESPOO,kitchenette,,,4,,kuvastimentie 1 c 18,02210,284.0
,2018.0,concrete,,131.0,1/2,2,"Lämmönlähde: Maalämpö, Lämmitysjärjestelmä: Vesikiertoinen lattialämmitys",4h + k + s,False,"iirislahdentie 13 g,, ,02230",,,,845000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,3.0,1,,iirislahdentie 13 g,02230,
,1979.0,concrete,good,79.5,1/2,2,Kaukolämpö,3h + keittiö + kph + sauna + wc + vh,False,"kaskenpäänkuja 4,, ,02340 espoo",True,10060.0,"349,80 € / kk",238000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,,1,,kaskenpäänkuja 4,02340,349.0
Asunnossa on parveke,1975.0,concrete,good,98.0,3/8,8,"Kaukolämpö,Vesikeskuslämmitys",4h + k (kph + erill.wc + lasitettu parveke),True,"kirstinsyrjä 7,, ,02760 espoo",True,5369.0,"368,55 € / kk",228000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,3,,kirstinsyrjä 7,02760,368.0
Asunnossa on parveke,2020.0,concrete,good,40.5,4/5,5,Kaukolämpö,2h + kt + lasitettu parveke,True,"kirkkojärventie 10 b59,, ,02770",,,"249,48 € / kk",207293.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,4,,kirkkojärventie 10 b59,02770,249.0
Asunnossa on parveke,2020.0,concrete,good,41.5,4/5,5,Kaukolämpö,2h + kt + lasitettu parveke,True,"kirkkojärventie 10 b60,, ,02770",,,"255,64 € / kk",208748.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,4,,kirkkojärventie 10 b60,02770,255.0
Asunnossa on parveke,1975.0,concrete,good,57.0,4/5,5,Kaukolämpö,2h + k + kph / wc + lasitettu parveke,True,"merivirta 9,, ,02320 espoo",True,21595.0,"397,86 € / kk",174500.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,4,,merivirta 9,02320,397.0
,1961.0,concrete,mediocre,197.0,2/2,2,Kaukolämpö,5h + k + rt + 2kph + wc + s + at,False,"itäranta 1,, ,02110 espoo",True,1654.0,"600,00 € / kk",798000.0,row house,Asunnossa on sauna,ESPOO,kitchen,,,2,Garage,itäranta 1,02110,600.0
Asunnossa on parveke,2020.0,concrete,good,41.5,4/5,5,Kaukolämpö,2h + kt + lasitettu parveke,True,"kirkkojärventie 10 b62,, ,02770",,,"255,64 € / kk",208748.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,4,,kirkkojärventie 10 b62,02770,255.0
